transaction_id,customer_id,transaction_date,transaction_type,amount,status
000553ce-90f5-4836-9f14-3f6e60a24ea0,78477387,2025-11-10 02:57:19,Withdrawal,3820.83,Completed
00076aad-bdba-4782-9a42-33f1aeefa01c,72406703,2026-03-15 22:14:37,Withdrawal,3697.12,Completed
000df606-5aac-44a5-a288-e53fff09ec83,40331529,2025-08-18 22:39:07,Payment,397.12,Pending
00196f3c-6d3c-4193-833d-73eaaaeb69e1,11073328,2025-04-25 22:39:15,Deposit,1073.9,Completed
001e0cca-2cb4-457f-af1b-7fb6f6193b58,39443946,2025-10-03 00:30:51,Withdrawal,3976.56,Completed
003c9a5a-c211-4bf9-86b8-af5d172444b0,29872521,2026-04-03 00:49:04,Transfer,1443.95,Completed
003f4207-00be-47db-90f4-10ef68c81631,97805930,2026-04-03 05:45:28,Withdrawal,1842.01,Completed
00423b34-bd61-412b-8fe4-573e39a9cdc2,39674985,2025-07-23 09:04:40,Transfer,4944.26,Completed
00489e42-e87c-4555-8ea8-3d9a8d60213a,80273281,2026-03-05 14:14:24,Deposit,2631.01,Completed
0056b89e-7566-4d10-a059-dc18d15cb2a9,42940210,2026-03-29 01:30:58,Withdrawal,3149.71,Completed
005e896c-2a9d-4592-a122-0680d1f9bf90,10718168,2025-10-29 03:30:46,Deposit,1982.47,Completed
0062be76-7372-4f34-ac2e-e562d56a9d1f,75049923,2025-05-26 12:09:42,Deposit,4321.12,Completed
0065734f-bdcb-4dda-b25c-763bc564363e,95468582,2025-08-27 17:23:46,Transfer,3495.69,Completed
00679c26-b862-402f-8c90-1591cc833d4d,15492354,2026-01-20 18:35:17,Transfer,3763.06,Completed
00741870-850c-4890-8ec7-ce3e5d00d4ac,32611963,2025-10-28 20:38:42,Withdrawal,4692.15,Completed
007eecca-ef97-409b-ad18-1bd4b1db1bed,41935875,2025-09-04 04:04:19,Payment,547.58,Completed
0084c121-f054-4590-828b-6cb3f15de067,91262993,2025-08-14 19:50:32,Deposit,3759.57,Completed
0098f83e-2144-4425-a964-5d8aab98ce7f,29759798,2025-05-10 10:31:03,Transfer,2086.06,Completed
0098f9d7-ffdd-413a-9075-6455c1915182,93397505,2025-08-15 13:35:04,Payment,2545.7,Completed
00a4296e-d100-46fd-bcfe-9e059119cb26,13444893,2025-08-20 13:08:48,Payment,2319.2,Completed
00ab6e10-6cff-43b0-bd00-3e5e24b7bf5c,25297647,2025-08-25 02:22:45,Withdrawal,1717.76,Completed
00b4993c-4c31-4739-a040-4effc4bb2518,92683566,2025-10-28 00:36:15,Payment,2680.01,Completed
00ba4973-9e2e-4c70-a5d0-2ac7cb7785cc,95598174,2026-04-04 15:06:32,Deposit,1247.87,Completed
00bb0af3-e204-48a6-ad4f-7edc28e3a29b,40331529,2025-04-25 21:09:32,Withdrawal,3301.35,Completed
00c02ba4-60a6-41f5-819f-2dba5cf9a9e8,93553442,2025-07-26 00:53:50,Payment,3809.23,Completed
00c0ba00-5325-4e88-8cb4-709a39df5964,68898604,2026-02-28 00:06:46,Deposit,3578.81,Completed
00c16cc7-0c5b-4d35-aa05-ea38e32096e3,61397576,2026-01-05 18:20:23,Transfer,1588.05,Completed
00c64a3f-bceb-4188-89e3-125a2b187658,24984935,2025-06-23 20:37:22,Deposit,2158.77,Completed
00ce9f59-6d4a-4e41-b89b-67c6f76062d6,88357510,2025-11-16 06:07:25,Transfer,1923.27,Completed
00d1a330-a191-4041-9cbd-ce3cb77a8865,79160794,2025-06-20 18:55:15,Withdrawal,4694.32,Completed
00d24557-28d7-4663-9a28-e4a6ba8f6233,73309065,2026-01-04 17:32:12,Withdrawal,3150.57,Pending
00d35ab9-a278-4cc0-a21a-9ab2bf5fa677,98191284,2026-01-08 16:11:05,Withdrawal,2420.31,Completed
